NCESSCH,ga_full_id,SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,System_School_ID,FAC_SCHTYPE,GRADE_RANGE,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
130255001124,667-4058,2024.0,667.0,Gwinnett County,4058.0,Summerour Middle School,667-4058,M,06-08,1302550,Summerour Middle School,13,321 Price Place Pl NW,Norcross,GA,30071,13,13135,Gwinnett County,21,33.941018,-84.202165,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13096,13005,2023-2024
130255001125,667-4056,2024.0,667.0,Gwinnett County,4056.0,Norcross Elementary School,667-4056,E,PK-05,1302550,Norcross Elementary School,13,150 Hunt St,Norcross,GA,30071,13,13135,Gwinnett County,21,33.9457,-84.2068,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13096,13005,2023-2024
130255001129,667-3750,2024.0,667.0,Gwinnett County,3750.0,Central Gwinnett High School,667-3750,H,09-12,1302550,Central Gwinnett High School,13,564 W Crogan St,Lawrenceville,GA,30046,13,13135,Gwinnett County,21,33.9488,-84.0003,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13102,13009,2023-2024
130255001130,667-3550,2024.0,667.0,Gwinnett County,3550.0,Camp Creek Elementary School,667-3550,E,PK-05,1302550,Camp Creek Elementary School,13,958 Cole Rd SW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.8612,-84.1163,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
130255001133,667-3054,2024.0,667.0,Gwinnett County,3054.0,Harris Elementary School,667-3054,E,PK-05,1302550,Harris Elementary School,13,3123 Claiborne Dr,Duluth,GA,30096,13,13135,Gwinnett County,21,33.9871,-84.1342,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13097,13007,2023-2024
130255001117,667-5554,2024.0,667.0,Gwinnett County,5554.0,Lilburn Elementary School,667-5554,E,KK-05,1302550,Lilburn Elementary School,13,531 Lilburn School Rd NW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.8919,-84.153,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
130255001111,667-1056,2024.0,667.0,Gwinnett County,1056.0,Lilburn Middle School,667-1056,M,06-08,1302550,Lilburn Middle School,13,4994 Lawrenceville Hwy NW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.8876,-84.1446,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
130255001109,667-1052,2024.0,667.0,Gwinnett County,1052.0,Dyer Elementary School,667-1052,E,PK-05,1302550,Dyer Elementary School,13,1707 Hurricane Shoals Rd,Dacula,GA,30019,13,13135,Gwinnett County,21,33.9968,-83.9373,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13105,13045,2023-2024
130255002040,667-289,2024.0,667.0,Gwinnett County,289.0,McKendree Elementary School,667-289,E,PK-05,1302550,McKendree Elementary School,13,1600 Riverside Pkwy,Lawrenceville,GA,30043,13,13135,Gwinnett County,21,33.9776,-84.0269,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13101,13007,2023-2024
130255001143,667-279,2024.0,667.0,Gwinnett County,279.0,Five Forks Middle School,667-279,M,06-08,1302550,Five Forks Middle School,13,3250 River Dr,Lawrenceville,GA,30044,13,13135,Gwinnett County,21,33.8842,-84.0693,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
